# frame	loc	refs	shot	beat
97	HOME	MARV,TWENTY	CU/high	MARV's noodle hand plucking the small paper scrap out of the air beside the sofa
100	BANK	SUIT,TWENTY	WIDE/eye	the bank teller desk with one large paper section laid across it and THE SUIT standing over it
103	BANK	SUIT,TWENTY	CU/overhead	scissors cutting a large portion away from the paper section on the desk, leaving a small remainder
106	BANK	SUIT	MEDIUM/low	THE SUIT posting the cut-away portion into a chute set in the wall, keeping the small remainder in his other hand
109	LEDGER	TWENTY	WIDE/eye	the banknote on the ruled plane with one corner section missing, the rest still whole
112	LEDGER	TWENTY	CU/overhead	fresh dotted cut-lines being drawn across the main body of the banknote
115	LEDGER	MARV,TWENTY	MEDIUM/low	MARV rolling up his sleeves beside the giant marked banknote
118	CAFE	BARISTA,CUP	WIDE/low	the cafe counter stacked with sacks, milk crates and a tower of paper cups behind THE BARISTA
121	CAFE	BARISTA,CUP	MEDIUM/lateral	THE BARISTA hauling a heavy crate with both noodle arms
124	CAFE	CUP	CU/macro	one single paper cup standing alone on the empty counter
127	CAFE	BARISTA,CUP	MEDIUM/high	THE BARISTA holding a small paper strip up to the light, squinting at how thin it is
130	FARM	FARMER	WIDE/high	the terraced hillside with THE FARMER small among the rows, picking by hand
133	FARM	FARMER	CU/eye	THE FARMER's noodle hand dropping berries into the woven basket
136	FARM	FARMER,TWENTY	MEDIUM/lateral	THE FARMER standing on the drying patio with a very small paper scrap pinned to his chest
139	FARM	FARMER	MEDIUM/low	THE FARMER looking down at the tiny scrap in his hand, a long queue of plain figures behind him
142	FARM	FARMER	WIDE/lateral	the hillside shrinking as a line of plain silhouettes stretches off toward the horizon
145	PORT	TWENTY	WIDE/low	stacked containers six high with ONE small sack riding a conveyor between them
148	PORT	SUIT,TWENTY	MEDIUM/lateral	a row of identical SUITS along the dock, each taking a pinch from the sack as it passes
151	PORT	TWENTY	CU/overhead	the sack visibly lighter, resting on the dock beside a stack of stamped forms
154	CAFE	BARISTA	MEDIUM/eye	THE BARISTA mid-pour at the espresso machine, steam rising
157	CAFE	BARISTA	CU/macro	noodle hands tamping a portafilter on the counter edge
160	CAFE	BARISTA,TWENTY	WIDE/high	the counter from above with a wide paper section taped to the side of the espresso machine
163	LANDOFF	LANDLORD	WIDE/low	the sparse office with THE LANDLORD seated behind the bare desk, feet up
166	LANDOFF	LANDLORD,TWENTY	MEDIUM/eye	THE LANDLORD accepting a paper section across the desk without looking up
169	LANDOFF	TWENTY	CU/high	a paper section sliding under the office door from the corridor side
172	LEDGER	TWENTY	CU/overhead	two paper strips laid side by side on the ruled plane, one tiny and one several times larger
175	LEDGER	MARV,TWENTY	MEDIUM/low	MARV crouching between the two strips, looking from the small one to the large one
178	LEDGER	SUIT,TWENTY	WIDE/lateral	three small SUIT silhouettes standing beside the tiny strip, dwarfed by the large strip opposite
181	LEDGER	TWENTY	CU/macro	the tiny strip almost invisible against the edge of the large one
184	CAFE	BARISTA	WIDE/eye	the back of the cafe with a fuse box, a dripping pipe and a stack of paperwork
187	CAFE	BARISTA	MEDIUM/low	a repair figure crouched at the espresso machine with a toolbox open, invoice already in hand
190	CAFE	TWENTY	CU/overhead	one paper section being torn into six smaller pieces on the counter
193	LEDGER	TWENTY	WIDE/overhead	the banknote now divided into five clearly separated labelled sections across the ruled plane
196	LEDGER	TWENTY	CU/macro	one small scrap left alone at the edge of the ruled plane
199	LEDGER	MARV,TWENTY	MEDIUM/eye	MARV crouching to look closely at the last small scrap
202	CAFE	BARISTA	MEDIUM/eye	THE BARISTA at the till counting a small handful of coins
205	CAFE	CUP	WIDE/lateral	the cafe at closing, chairs upturned on tables, one cup left on the counter
208	LEDGER	TWENTY	WIDE/overhead	the complete exploded diagram of the banknote, every section separated on the ruled plane
211	LEDGER	TWENTY	CU/macro	the smallest section of all, sitting apart from the rest
214	LEDGER	MARV	MEDIUM/lateral	MARV walking the length of the exploded diagram, hands behind his back
217	CAFE	MARV,TERMINAL	WIDE/eye	the cafe with TWO separate queues of plain figures, one at the terminal and one at a till
220	CAFE	TERMINAL	CU/overhead	the hanging menu board above the counter, blank and identical for both queues
223	CAFE	MARV,TWENTY	MEDIUM/lateral	one figure tapping a card while beside them another hands over a folded banknote
226	CAFE	CUP	WIDE/high	both queues receiving identical cups across the same counter
229	CAFE	BARISTA	MEDIUM/eye	THE BARISTA rubbing out the number on the menu board and writing a higher one
232	CAFE	TERMINAL	CU/macro	a tiny extra mark being folded into the corner of the price on the board
235	LEDGER	TWENTY	WIDE/overhead	TWO identical banknotes side by side on the ruled plane
238	LEDGER	TWENTY	CU/overhead	the same size cut taken from both banknotes simultaneously
241	LEDGER	TWENTY	MEDIUM/lateral	one note receiving a small scrap back while the other receives nothing
244	LEDGER	MARV	CU/eye	one empty open noodle hand held out, receiving nothing
247	LEDGER	MARV	WIDE/overhead	two plain figures standing apart on the ruled plane with a thick arrow inked between them
250	LEDGER	MARV	MEDIUM/high	dozens of identical arrows drawn across the plane, all pointing the same direction
253	BANK	SUIT	WIDE/low	the bank lobby with arrows crossing it in every direction toward the vault
256	BANK	SUIT	MEDIUM/eye	a researcher figure standing at a chalkboard covered in tally marks
259	BANK	TWENTY	CU/macro	a small stack of paper sheets on the desk, edges neatly aligned
