# Wave B1 — every frame where (n-1)%3==1, each editing its own n-1 (a KIND-A frame).
# frame 2 was rendered in the B pilot and is already in the ledger; 118 rows here.
#
# `loc` is the location of the BASE frame, not the nominal scene map. The scene map's
# boundaries fall on B frames in several places (116, 128, 218...); a B frame cannot
# change location, so the scene actually turns at the next A frame. Base wins.
#
# Prompt built from this file (nothing else — no asset sheets, no style formula, no
# palette lock; adding any of them makes the model rebuild instead of edit):
#
#   Take the reference image and keep it EXACTLY: same composition, same crop, same
#   camera, same character, same colors, same background, same style. Change ONLY:
#   {change}. Do not redraw or re-stage anything else.
#
# Base beats for frames 97-355 come from EP01-waveA-beats.tsv. Base beats for frames
# 4-94 were never persisted and the CDN is blocked from this session's egress, so those
# changes were authored against the narration-to-frame mapping and the scene map rather
# than against the rendered image. They are phrased to be additive where the base
# staging is uncertain — if the named element is absent the model introduces it, which
# is still on-message and still a glance-visible change.
#
# frame	base	loc	change
5	4	CAFE	the banknote in the frame has been torn in two, the larger half pulled away from the counter
8	7	CAFE	three small SUIT silhouettes have appeared standing in a row behind the counter
11	10	CAFE	each of the three SUIT silhouettes is now holding a small paper scrap
14	13	LEDGER	a small corner section has been cut out of the banknote and set aside on the ruled plane
17	16	LEDGER	the small corner scrap has been circled with a heavy inked ring
20	19	CAFE	the till drawer has sprung open, standing empty
23	22	CAFE	every noodle hand has been withdrawn from the counter, leaving it untouched
26	25	CAFE	a dotted trail line now runs from the counter off toward the right edge of the frame
29	28	LEDGER	a row of open empty hands has appeared along the dotted trail across the ruled plane
32	31	LEDGER	the banknote at the end of the trail has shrunk to a bare sliver
35	34	RAILS	the single block on the rail has separated into three blocks stacked one on top of another
38	37	RAILS	a small plain clock face has appeared beside the rail, its hand just past the top
41	40	RAILS	a card has been laid flat against the reader with a short contact line drawn between them
44	43	RAILS	two plain labels have appeared beside the stack, one wide and one narrow
47	46	RAILS	the card has lifted clear of the reader and the contact line is gone
50	49	BANK	the largest of the three blocks has slid forward well ahead of the other two
53	52	BANK	a small scrap has been cut from the large block and laid beside it
56	55	BANK	a blank nameplate has appeared on the wall above the desk
59	58	BANK	the nameplate has been underlined twice with heavy ink
62	61	BANK	the lending window behind the desk has been shuttered closed
65	64	BANK	a turnstile has appeared standing in the middle of the lobby floor
